S.NO.,PART NO.,ITEMS,DESCRIPTION,QTY,MRP
1,DIESEL FILTER,,,,
2,1457 431 003 ,D.FILTER,1LTR CLOTH,0,161
3,F 002 H24 406 ,D.FILTER,1LTR PAPER,59,146
4,9451 037 409 ,D.FILTER,1.1 LTR COIL,41,162
5,9451 037 404 ,D.FILTER,0.5 LTR CLOTH,30,
6,F 002 H22 405 ,D.FILTER,0.5 LTR PAPER,2,134
7,9451 037 407 ,D.FILTER,0.5 LTR COIL,63,121
,F 002 H27 407,D.FILTER,0.5 LTR COIL,75,97
8,F 002 H27 737 ,D.F. KIT,0.5 LTR CLOTH + PAPER SET,941,193
9,F 002 H27 738,D.F. KIT,0.5LTR CLOTH + COIL SET,110,184
10,F 002 H27 739,D.F. KIT                                            ,0.5LTR COIL SET,682,184
12,F 002 H20 239,D.FILTER ,TC SMALL,12,283
13,F 002 H21 252,D.FILTER ,T.C.BIG,7,441/463
14,F 002 H20 306,D.FILTER,NEW HOLLAND PRIMARY,102,400
15,F 002 H20 308,D.FILTER,NEW HOLLAND SECONDARY,103,396
16,F 002 H21 298,D.FILTER,LEYLAND HINO,8,1301
17,F 002 H21 299,D.FILTER                                               ,CAV SINGLE,91,136/143
18,F 002 H22 095,D.FILTER,"ASHOK LEYLAND, TATA, SWARAJ MAZDA",9,1854
19,F 002 H24 725,D.FILTER ,EICHER 725 OR 718 YE DONO SATHME LAGTE HE ,5,1550
20,F 002 H22 283,D.FILTER                              ,MAXIMO,293,363
22,9 451 037 420,D.FILTER,0.2 LTR KIRLOSKER,100,51
25,F 002 H20 740,D.FILTER,T.C KIT,2,1118
26,F 002 H25 949,DIESEL FILTER  ,h24 851 eicher,12,1064
27,F 002 H24 928,DIESEL FILTER  ,kit MASSEY,30,379
28,F 002 H24 930,DIESEL FILTER  ,kit M.DI.,24,586
29,F 002 H24 931,DIESEL FILTER  ,kit swaraj,8,268
30,F 002 H24 932,DIESEL FILTER  ,kit FORD,17,424
31,F 002 H24 718,D.FILTER -,EICHER PRO,4,1061
32,F 002 H20 364,LINE FILTER,FARMTRAC DEISEL FILTER SINGLE,91,392
33,F 002 H25 993,DIESEL FILTER,-H25 940     y,36,1118
34,F 002 H24 500,DIESEL FILTER ,T.C SMALL SAME AS H20239,3,283
35,F 002 H24 501, DIESEL FILTER ,Tata cummins BS3  252,3,485
36,F 002 H24 504, FILTER KIT,Tata cummins BS3 ,2,1138
37,F 002 H26 311,DIESEL FILTER,ASHOK LEYLAND BS4,7,2318
